codigo_med,tipo_suministro,medicamento,categoria_eess,periodo,cantidad,precio_unitario,valor_2,stock_items,valor_4,consumo_items
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202104,11591,0.0714,446,1295,9673,34389
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202105,12985,0.05,797,2331,9753,43968
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202106,12378,0.05,657,2136,9464,31590
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202107,11463,0.1429,323,1253,9870,62127
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202108,13085,0.1571,370,1494,11201,57042
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202109,32440,0.1571,904,3980,6694,34602
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202110,12307,0.1857,656,3649,8002,64445
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202111,12104,0.1857,609,2741,8731,71788
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202112,11887,0.1857,823,2032,9002,106896
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202201,11698,0.1429,439,2596,8663,96698
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202202,12590,0.1429,1438,2222,8910,85726
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202203,12377,0.1143,729,1895,9753,97014
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202204,11359,0.1286,858,3140,7272,86655
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202205,12508,0.1286,1037,7728,3555,75547
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202206,13065,0.1286,322,4789,7748,91632
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202207,11440,0.1333,298,2366,8776,81117
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202208,13030,0.1333,827,2829,9374,67787
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202209,12727,0.1333,810,3042,8842,85860
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202210,12226,0.1333,399,4109,7718,73634
