node_id,ipress_code,name,latitude,longitude,categoria,red,microred,nivel_atencion,district,province,geocode_confidence,demand_mean,demand_std,demand_cv,cold_chain_demand,service_time,tw_start,tw_end,sanitary_priority
2078,2078,CENTRO DE SALUD VICHAYAL,-4.8651182,-81.0726136,CENTRO DE SALUD,,,I-3,VICHAYAL,PAITA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2079,2079,PUESTO DE SALUD MIRAMAR,-4.8722839,-81.1008006,PUESTO DE SALUD,,,I-1,VICHAYAL,PAITA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2080,2080,"CENTRO DE SALUD ""LOS ORGANOS""",-4.1765953,-81.1273383,CENTRO DE SALUD,,,I-3,LOS ORGANOS,TALARA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2081,2081,PUESTO DE SALUD EL ÑURO,-4.2160898,-81.1706028,PUESTO DE SALUD,,,I-1,LOS ORGANOS,TALARA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2083,2083,PUESTO DE SALUD CABO BLANCO,-4.2512228,-81.2310862,PUESTO DE SALUD,,,I-1,EL ALTO,TALARA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
6627,6627,CENTRO DE SALUD MANCORA,-4.1056284,-81.0459201,CENTRO DE SALUD,,,I-3,MANCORA,TALARA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
7718,7718,PUESTO DE SALUD FELIPE SANTIAGO SALAVERRY,-4.5900299,-81.1750729,PUESTO DE SALUD,,,I-1,PARIÑAS,TALARA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
10726,10726,PUESTO DE SALUD JORAS,-4.5649483,-79.6841993,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
10727,10727,PUESTO DE SALUD SOCCHABAMBA,-4.6045211,-79.666442,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
19125,19125,PUESTO DE SALUD HUALCUY,-4.7479412,-79.6118811,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
19837,19837,PUESTO DE SALUD RODEOPAMPA,-4.6732321,-79.6184916,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
19844,19844,PUESTO DE SALUD HUILCO,-4.6151437,-79.4995409,PUESTO DE SALUD,,,I-1,AYABACA,AYABACA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
